episode,reward,length,win_status,avg_hero_reward,avg_villain_reward
90,348.6506230305822,801,0,269.1004153537215,-79.55020767686077
91,781.4025991063725,1221,0,612.9350660709148,-168.46753303545773
92,361.8205651665385,801,0,277.8803767776924,-83.94018838884608
93,365.64375005048055,801,0,280.42916670032037,-85.21458335016017
94,385.8356164244235,801,0,310.5570776162823,-75.27853880814122
95,376.82951280168766,801,0,289.88634186779177,-86.94317093389587
96,390.714709367162,801,0,297.143139578108,-93.57156978905402
97,1665.9080345413336,2477,0,1171.2720230275556,-494.6360115137778
98,416.2307651555652,801,0,322.82051010371015,-93.41025505185509
99,432.2807282664758,801,0,336.8538188443172,-95.42690942215863
100,429.5611739833853,801,0,329.70744932225693,-99.85372466112834
